id_event;type_event;disease;host;type_host;country;locality;confirmationdate;serotype
u1;unofficial;AI;domestic birds;domestic;Viet Nam;NA;2019-03-08;H5N6
u2;unofficial;AI;domestic, fowls;domestic;Viet Nam;Long Ann province;2019-01-07;H5N1
u3;unofficial;AI;domestic, ducks;domestic;Viet Nam;Long Son commune;2019-01-07;H5N1
u28;unofficial;AI;domestic, birds;domestic;India;NA;NA;H5 HPAI
u4;unofficial;AI;domestic, poultry;domestic;Indonesia;Campang Raya Village;2019-02-13;H5N1
u5;unofficial;AI;wild crows;wild;India, Gaya, Lady Elgin Hospital;NA;2019-01-20;NA
u6;unofficial;AI;wild, seal;wild;United States of America;NA;2018-08-23;NA
u8;unofficial;AI;domestic, duck;domestic;China;NA;2018-09-27;NA
u9;unofficial;AI;wild, common coot;wild;India;NA;2018-11-05;NA
u10;unofficial;AI;domestic, cat;domestic;United States of America;NA;2018-11-05;H7N2 LPAI
u11;unofficial;AI;environmental, wild bird feces;environmental;South Korea;NA;2018-11-23;H5
u12;unofficial;AI;domestic, chicken;domestic;Viet Nam;NA;2018-12-11;H5N1 HPAI
u13;unofficial;AI;domestic, chicken;domestic;United States of America;NA;2018-12-14;NA
u14;unofficial;AI;domestic, chicken;domestic;Taiwan (Province of China);NA;2018-12-16;H5N2
u15;unofficial;AI;domestic, chicken;domestic;India;NA;2018-12-19;NA
u16;unofficial;AI;wild, crow;wild;India;NA;2019-01-01;H5N1
u17;unofficial;AI;wild, crow;wild;India;NA;2019-01-06;NA
u7;unofficial;AI;domestic, chicken;domestic;Viet Nam, Quang Ninh;NA;2019-01-07;NA
u18;unofficial;AI;domestic, unspecified;domestic;India;NA;2019-01-13;NA
u19;unofficial;AI;unspecified bird;unspecified ;Dominican Republic;NA;2019-01-16;H5N2 LPAI
u20;unofficial;AI;domestic, duck;domestic;Egypt;NA;2019-03-04;H5N2
u21;unofficial;AI;wild, crow;wild;India;NA;2019-03-05;NA
u22;unofficial;AI;wild, pinguins;wild;Namibia;NA;2019-03-11;NA
u23;unofficial;AI;wild, pigeon;wild;India;NA;2019-03-19;NA
u24;unofficial;AI;wild, unspecified;wild;Pakistan;NA;2019-03-19;NA
u25;unofficial;AI;unspecified bird;unspecified ;Nepal;NA;2019-03-22;NA
u26;unofficial;AI;domestic, unspecified;domestic;United States of America;NA;2019-03-25;NA
u27;unofficial;AI;domestic, unspecified;domestic;Viet Nam;NA;2019-04-29;H5N6
