"type_source";"n";"prop";"name_style";"type"
"local vet auth.";51;-0.443478260869565;"Local vet. auth.";"primary"
"national vet auth.";31;-0.269565217391304;"National vet. auth.";"primary"
"local off. auth.";19;-0.165217391304348;"Local auth.";"primary"
"online news source";5;-0.0434782608695652;"Online news";"primary"
"radio, TV";3;-0.0260869565217391;"Radio, TV";"primary"
"private company";2;-0.0173913043478261;"Private company";"primary"
"laboratory";1;-0.00869565217391304;"Laboratory";"primary"
"national off. auth.";1;-0.00869565217391304;"National auth.";"primary"
"press agency";0;0;"Press agency";"primary"
"social platform";0;0;"Social platform";"primary"
"laboratory";1;0.00917431192660551;"Laboratory";"secondary"
"local off. auth.";2;0.018348623853211;"Local auth.";"secondary"
"local vet auth.";3;0.0275229357798165;"Local vet. auth.";"secondary"
"national off. auth.";0;0;"National auth.";"secondary"
"national vet auth.";0;0;"National vet. auth.";"secondary"
"online news source";74;0.678899082568807;"Online news";"secondary"
"press agency";16;0.146788990825688;"Press agency";"secondary"
"private company";0;0;"Private company";"secondary"
"radio, TV";8;0.073394495412844;"Radio, TV";"secondary"
"social platform";3;0.0275229357798165;"Social platform";"secondary"
